workflow,url,gold_answer,n_workers_total,n_attempts_total,n_repeated_worker_votes,n_conflicted_workers,n_valid_votes,n_correct,n_incorrect,correct_share,incorrect_share,repeat_worker_share,conflict_worker_share,yes_count,yes_share,no_count,no_share,not_working_count,not_working_share,eligible_by_n,is_difficult,is_ambiguous,is_conflicted_repeats,flag
REGION_MARKUP,https://giftarcher.ru,no,6,6,0,0,6,3,3,0.5,0.5,0.0,0.0,3,0.5,3,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://tvoya-vaza.ru,no,6,6,0,0,6,3,3,0.5,0.5,0.0,0.0,3,0.5,3,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://бир.рф,yes,6,6,0,0,6,3,3,0.5,0.5,0.0,0.0,3,0.5,3,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://1pars.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://425555.ru,yes,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://7953084.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://aa-craft.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://aa40.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,1,0.25,2,0.5,1,0.25,True,False,True,False,ambiguous
REGION_MARKUP,https://advantix-pc.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://aeg-com.ru,yes,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://airbeautyshop.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://albinel.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://alt-online.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,0,0.0,2,0.5,2,0.5,True,False,True,False,ambiguous
REGION_MARKUP,https://annline.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://apexdental.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://art-kormushka.com.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://ateplica.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://auto-sklad161.ru,yes,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://azs-kolonka.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://batbaza.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,0,0.0,2,0.5,2,0.5,True,False,True,False,ambiguous
REGION_MARKUP,https://bestauto59.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://bocman.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://bronzegym.ru,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
REGION_MARKUP,https://bs24.org,no,4,4,0,0,4,2,2,0.5,0.5,0.0,0.0,2,0.5,2,0.5,0,0.0,True,False,True,False,ambiguous
