workflow,url,gold_answer,n_workers_total,n_attempts_total,n_repeated_worker_votes,n_conflicted_workers,n_valid_votes,n_correct,n_incorrect,correct_share,incorrect_share,repeat_worker_share,conflict_worker_share,yes_count,yes_share,no_count,no_share,not_working_count,not_working_share,eligible_by_n,is_difficult,is_ambiguous,is_conflicted_repeats,flag,ambiguity_distance
REGION_MARKUP,https://gazballon-nizhniy-tagil.ru,no,8,8,0,0,8,0,8,0.0,1.0,0.0,0.0,8,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://efsmoscow.ru,no,7,7,0,0,7,0,7,0.0,1.0,0.0,0.0,7,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://cheese-box.ru,yes,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,0,0.0,0,0.0,6,1.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://faridkamal.pro,not_working,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://filternn.ru,no,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://food-service.ru,yes,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,0,0.0,6,1.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://grocenberg.store,no,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://ishop72.ru,no,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://les-wm.ru,no,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://m-open.ru,no,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://myshop-bei517.myinsales.ru,not_working,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://orbitansk.ru,no,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://svarka-piter.ru,no,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://радиотехниканск.рф,no,6,6,0,0,6,0,6,0.0,1.0,0.0,0.0,6,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://armysnab.ru,no,5,5,0,0,5,0,5,0.0,1.0,0.0,0.0,5,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://detalcar.ru,no,5,5,0,0,5,0,5,0.0,1.0,0.0,0.0,5,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
REGION_MARKUP,https://lunettes.ru,no,5,5,0,0,5,0,5,0.0,1.0,0.0,0.0,5,1.0,0,0.0,0,0.0,True,True,False,False,difficult,0.5
