worker_id,assignments_done,items_done,controls_done,controls_correct,control_accuracy,median_duration_sec,mean_duration_sec,yes_count,no_count,not_working_count,yes_share,no_share,not_working_share,quality_segment
0004d411-9263-4be6-9e6e-9837c4bfdd03,8,80,16,12,0.75,652.5,648.125,42,31,7,0.525,0.3875,0.0875,risky
0020c33c-484f-4ec0-a41a-36983540d513,4,40,8,6,0.75,535.0,598.5,30,10,0,0.75,0.25,0.0,risky
002c709a-df54-4c9c-b45e-8161c708081b,6,60,12,9,0.75,320.0,330.0,28,18,14,0.4666666666666667,0.3,0.23333333333333334,risky
003e73b9-6361-4512-8519-1a7d8d2ac440,14,138,14,10,0.7142857142857143,498.0,539.6666666666666,78,52,8,0.5652173913043478,0.37681159420289856,0.057971014492753624,risky
00629c22-23bb-4367-99e2-978a639acd78,15,150,16,12,0.75,438.0,507.6,67,81,2,0.44666666666666666,0.54,0.013333333333333334,risky
0063ae48-2a7f-4082-8a3e-189f05edc040,31,310,62,51,0.8225806451612904,285.0,324.0,141,159,10,0.45483870967741935,0.5129032258064516,0.03225806451612903,risky
00654f90-0c88-4e81-a30d-ed5cedf231e1,4,40,4,1,0.25,468.5,475.75,23,14,3,0.575,0.35,0.075,unknown_low_controls
0082e5b5-227a-4de2-b49c-e33b7321493b,8,80,8,4,0.5,705.0,759.25,53,20,7,0.6625,0.25,0.0875,bad
0085653d-674b-4af7-8bee-019a6ceccf38,7,70,14,10,0.7142857142857143,150.0,134.57142857142858,44,24,2,0.6285714285714286,0.34285714285714286,0.02857142857142857,risky
00a85386-39d3-4209-b0ce-8aee97bd882d,3,30,6,3,0.5,271.0,247.0,21,8,1,0.7,0.26666666666666666,0.03333333333333333,bad
00fc8f61-617f-46ef-ab69-b6d625fdcc8a,8,80,16,12,0.75,447.0,490.75,32,40,8,0.4,0.5,0.1,risky
010d36d0-24f6-45ec-966f-0593ea82408d,3,30,5,3,0.6,482.0,509.3333333333333,17,12,1,0.5666666666666667,0.4,0.03333333333333333,bad
012829cd-ab3a-4d8a-8d1c-cda2145cf8de,5,50,10,6,0.6,234.0,254.0,24,22,4,0.48,0.44,0.08,bad
0139d45e-fd20-4329-a7d4-da831c43fe18,7,70,14,10,0.7142857142857143,259.0,263.42857142857144,33,36,1,0.4714285714285714,0.5142857142857142,0.014285714285714285,risky
0143703f-0ac7-497c-b736-b675748603cd,1,10,1,0,0.0,23.0,23.0,9,1,0,0.9,0.1,0.0,unknown_low_controls
0157093d-0ea5-41aa-b7c1-3e39eff5eeca,10,100,10,6,0.6,732.5,723.1,55,36,9,0.55,0.36,0.09,bad
017ca71e-b2f5-473d-a0b5-2010fdcbb9f3,16,125,19,15,0.7894736842105263,209.0,226.88,58,62,5,0.464,0.496,0.04,risky
019d9ab1-4d66-4af0-a230-599d825a1286,11,110,13,9,0.6923076923076923,285.0,317.45454545454544,61,40,9,0.5545454545454546,0.36363636363636365,0.08181818181818182,risky
01b02935-2460-44bd-94d8-42ddc606f677,11,55,11,7,0.6363636363636364,63.0,92.27272727272727,32,22,1,0.5818181818181818,0.4,0.01818181818181818,bad
